,date,sec_name,i_weight,PCT_CHG_PER,INDUSTRY_CSRC12,FA_ROICEBIT_TTM,FA_OCFTOOR_TTM,FA_DEBTTOASSET,FA_NPGR_TTM,FA_ORGR_TTM,TECH_PRICE1Y,PE_TTM,VAL_MVTOEBITDA_TTM,PB_LF,BETA_24M,ANNUALSTDEVR_24M
000553.SZ,2018/8/31 0:00,沙隆达A,0.174,0.245298446,化学原料及化学制品制造业,16.4363,12.7661,48.1853,4700.7206,1428.4716,-0.18156728,8.021125793,3.9175,1.39229238,1.04369998,45.57683945
600348.SH,2018/8/31 0:00,阳泉煤业,0.21,2.123893805,煤炭开采和洗选业,10.9419,14.2363,57.6764,29.7186,17.7743,-0.1715774,8.306959152,2.7168,0.801259756,0.940199971,29.38735962
002078.SZ,2018/8/31 0:00,太阳纸业,0.402,-5.334987593,造纸及纸制品业,16.4171,25.0215,59.336,51.142,24.5827,-0.21937635,8.3201437,3.8673,1.735690236,1.361799955,31.81950569
600694.SH,2018/8/31 0:00,大商股份,0.128,-0.217706821,零售业,18.1577,1.5835,53.107,50.3676,-5.119,-0.18288728,8.332773209,3.895,1.048437119,1.647600055,24.85250473
000732.SZ,2018/8/31 0:00,泰禾集团,0.236,-1.08974359,房地产业,2.7484,-13.8004,85.6653,53.2764,21.9398,-0.28939998,8.332988739,4.0253,0.958867967,2.9381001,62.19586563
600266.SH,2018/8/31 0:00,北京城建,0.247,-1.886792453,房地产业,3.2717,-65.025,76.9371,11.5548,7.4222,-0.26953942,8.385894775,6.4398,0.62000984,0.757200003,20.97340393
600240.SH,2018/8/31 0:00,华业资本,0.279,-18.59903382,房地产业,11.3004,-11.5958,60.857,-34.2469,-28.3341,-0.1794328,8.445508957,5.4307,1.25620842,0.280999988,22.19934845
000587.SZ,2018/8/31 0:00,金洲慈航,0.089,-2.302631579,其他制造业,5.6811,3.5986,72.2701,-20.6371,68.6127,-0.5068467,8.641708374,4.7745,0.664163053,1.789800048,39.75264359
600801.SH,2018/8/31 0:00,华新水泥,0.291,0.662589195,非金属矿物制品业,22.6317,23.0455,51.8298,185.3709,36.3354,0.28530657,8.654344559,4.4381,2.183434725,1.206599951,45.31391144
002354.SZ,2018/8/31 0:00,天神娱乐,0.117,-4.160688666,互联网和相关服务,10.5396,4.5969,28.6224,-2.502,14.1846,-0.5353531,8.655796051,4.958,0.670032203,1.098099947,31.76165581
601678.SH,2018/8/31 0:00,滨化股份,0.183,-3.683241252,化学原料及化学制品制造业,14.7255,21.0543,41.6611,26.0845,15.3105,-0.17500558,8.734400749,4.6689,1.365283608,0.912500024,27.85068321
000761.SZ,2018/8/31 0:00,本钢板材,0.056,1.452784504,黑色金属冶炼及压延加工,5.5374,17.4071,69.708,59.8916,14.8267,-0.11826009,8.856534958,3.0796,0.860874176,1.108299971,29.58204269
000980.SZ,2018/8/31 0:00,众泰汽车,0.105,1.512287335,汽车制造业,6.885,-0.132,46.0365,347.408,278.0694,-0.44519454,8.935925484,4.6661,0.637757838,1.263200045,38.60810471
600466.SH,2018/8/31 0:00,蓝光发展,0.195,-0.956022945,房地产业,4.3939,13.2546,82.886,36.6119,14.1134,-0.20358902,9.079937935,5.9082,1.014072061,1.375100017,37.35652542
600094.SH,2018/8/31 0:00,大名城,0.228,3.054989817,房地产业,8.0856,15.727,77.3315,45.1305,105.1742,-0.22115537,9.234606743,4.3195,1.060744047,0.41870001,15.08373737
600649.SH,2018/8/31 0:00,城投控股,0.22,-1.204819277,房地产业,7.4312,19.7065,43.4129,5.1328,-1.8692,-0.23840052,9.289207458,7.7359,0.77759248,1.169499993,36.03878021
600970.SH,2018/8/31 0:00,中材国际,0.217,-0.47318612,土木工程建筑业,9.4692,-17.0332,73.7885,84.7898,7.804,-0.22807301,9.388288498,6.4682,1.399986506,1.504299998,36.37895584
002244.SZ,2018/8/31 0:00,滨江集团,0.205,0.480769231,房地产业,9.6012,-65.2246,77.1982,0.9724,14.7632,-0.34266134,9.484366417,3.7697,0.892283559,1.181900024,23.19735718
002051.SZ,2018/8/31 0:00,中工国际,0.258,-11.5913556,土木工程建筑业,17.7593,-1.0701,52.0992,12.5043,34.6557,-0.25144031,9.532419205,8.1212,1.776380777,1.013599992,25.02397728
002002.SZ,2018/8/31 0:00,鸿达兴业,0.091,11.76470588,化学原料及化学制品制造业,12.427,20.3115,56.6487,-11.1368,-8.4411,-0.41613631,9.626626015,4.9018,1.491802216,1.682299972,33.21865463
600743.SH,2018/8/31 0:00,华远地产,0.07,-2.469135802,房地产业,4.7712,-62.3464,80.2384,-8.023,-0.7981,-0.26943207,9.634479523,4.556,0.778041005,1.107300043,23.57529068
600565.SH,2018/8/31 0:00,迪马股份,0.129,-1.973684211,房地产业,5.4374,44.7719,83.6318,-5.9171,-28.3766,-0.19465382,9.701327324,5.6215,0.967474222,0.574999988,20.7212162
600748.SH,2018/8/31 0:00,上实发展,0.079,2.953586498,房地产业,6.6376,-24.454,69.6576,55.8814,30.5458,-0.1511382,9.762435913,4.7525,0.899247885,0.85650003,15.81362343
601000.SH,2018/8/31 0:00,唐山港,0.22,4.60251046,水上运输业,11.5294,17.9875,26.9073,1.5417,71.0908,-0.23702399,9.789161682,5.3976,0.99147743,1.41929996,45.05133438
601128.SH,2018/8/31 0:00,常熟银行,0.2,3.145695364,货币金融服务,,72.0333,92.4476,34.4914,13.6908,-0.09385877,9.859727859,,1.189371467,,
300274.SZ,2018/8/31 0:00,阳光电源,0.211,3.823529412,电气机械及器材制造业,10.4718,-3.7297,54.3576,50.3898,28.9943,-0.50538394,9.877282143,7.7673,1.403670669,1.5898,50.17993546
000667.SZ,2018/8/31 0:00,美好置业,0.175,0.440528634,房地产业,7.3735,53.6095,64.45,-22.4054,-39.3637,-0.17798419,9.884404182,5.9722,0.80704999,1.048400044,17.54428864
600395.SH,2018/8/31 0:00,盘江股份,0.114,0,煤炭开采和洗选业,12.5183,25.7833,46.1901,41.9327,16.0528,-0.08036075,10.04712582,7.0799,1.445334554,1.169399977,22.78997803
002048.SZ,2018/8/31 0:00,宁波华翔,0.125,4.411764706,汽车制造业,12.9784,9.5895,41.7949,-9.8532,4.6521,-0.36704966,10.11348629,3.7028,0.907266498,1.146199942,30.01678658
002019.SZ,2018/8/31 0:00,亿帆医药,0.235,-4.276895994,医药制造业,20.0371,29.845,21.12,69.6844,33.3932,-0.37817907,10.22205353,8.0921,2.15577054,1.289800048,32.46417618
600908.SH,2018/8/31 0:00,无锡银行,0.162,2.284710018,货币金融服务,,79.676,92.6136,12.09,13.7327,-0.18637382,10.22763729,,1.050434113,,
002440.SZ,2018/8/31 0:00,闰土股份,0.228,1.848428835,化学原料及化学制品制造业,18.6765,12.5098,19.145,53.3476,25.9481,-0.12190941,10.23178768,6.6784,1.721633554,1.138299942,28.92143822
603225.SH,2018/8/31 0:00,新凤鸣,0.075,-1.254480287,化学纤维制造业,18.5549,9.1666,48.9708,56.2631,29.4302,-0.07936099,10.42468929,5.7308,2.435256243,,
600039.SH,2018/8/31 0:00,四川路桥,0.196,-3.08988764,土木工程建筑业,5.6878,5.2652,80.7786,10.7305,26.3175,-0.0915926,10.6711235,3.6079,0.94577843,1.164700031,25.85224342
